# r/sigma   g(r)
0.019942 0.000000
0.059626 0.000000
0.099310 0.000000
0.138994 0.000000
0.178678 0.000000
0.218362 0.000000
0.258046 0.000000
0.297730 0.000000
0.337414 0.000000
0.377098 0.000000
0.416782 0.000000
0.456466 0.000000
0.496150 0.000000
0.535834 0.000000
0.575518 0.000000
0.615202 0.000000
0.654886 0.000000
0.694570 0.000000
0.734254 0.000000
0.773938 0.000000
0.813623 0.000000
0.853307 0.000000
0.892991 0.002697
0.932675 0.079034
0.972359 0.480886
1.012043 1.225029
1.051727 1.858397
1.091411 2.121546
1.131095 2.105017
1.170779 1.952819
1.210463 1.754364
1.250147 1.571270
1.289831 1.417336
1.329515 1.286339
1.369199 1.180526
1.408883 1.100046
1.448567 1.033235
1.488251 0.983805
1.527935 0.946443
1.567619 0.923082
1.607303 0.903264
1.646987 0.894739
1.686671 0.889541
1.726355 0.893801
1.766039 0.899794
1.805723 0.914586
1.845407 0.933656
1.885091 0.954559
1.924775 0.979894
1.964459 1.003142
2.004143 1.028955
2.043827 1.054080
2.083511 1.074115
2.123195 1.084466
2.162879 1.087482
2.202563 1.088514
2.242247 1.081459
2.281931 1.071154
2.321615 1.058382
2.361299 1.044576
2.400984 1.033068
2.440668 1.021217
2.480352 1.009626
2.520036 1.002223
2.559720 0.996267
2.599404 0.991921
2.639088 0.989122
2.678772 0.985100
2.718456 0.984361
2.758140 0.985679
2.797824 0.987705
2.837508 0.988739
2.877192 0.990964
2.916876 0.994604
2.956560 0.997507
2.996244 0.999107
3.035928 1.002019
3.075612 1.004244
3.115296 1.005119
3.154980 1.006621
3.194664 1.006338
3.234348 1.006725
3.274032 1.005442
3.313716 1.004357
3.353400 1.002428
3.393084 1.001218
3.432768 0.998311
3.472452 0.997300
3.512136 0.994522
3.551820 0.993987
3.591504 0.992167
3.631188 0.992144
3.670872 0.990600
3.710556 0.990413
3.750240 0.990692
3.789924 0.990835
3.829608 0.990226
3.869292 0.990793
3.908976 0.991000
3.948660 0.991093
