# r/sigma   g(r)
0.015242 0.000000
0.045527 0.000000
0.075811 0.000000
0.106095 0.000000
0.136380 0.000000
0.166664 0.000000
0.196948 0.000000
0.227233 0.000000
0.257517 0.000000
0.287801 0.000000
0.318086 0.000000
0.348370 0.000000
0.378654 0.000000
0.408939 0.000000
0.439223 0.000000
0.469507 0.000000
0.499792 0.000000
0.530076 0.000000
0.560360 0.000000
0.590645 0.000000
0.620929 0.000000
0.651213 0.000000
0.681498 0.000000
0.711782 0.000000
0.742066 0.000000
0.772351 0.000000
0.802635 0.000000
0.832919 0.000000
0.863204 0.000074
0.893488 0.008001
0.923773 0.119905
0.954057 0.604676
0.984341 1.497203
1.014626 2.360010
1.044910 2.821694
1.075194 2.844324
1.105479 2.597733
1.135763 2.253929
1.166047 1.907763
1.196332 1.604329
1.226616 1.352591
1.256900 1.151897
1.287185 0.996038
1.317469 0.873579
1.347753 0.782261
1.378038 0.715249
1.408322 0.663115
1.438606 0.626143
1.468891 0.604218
1.499175 0.591776
1.529459 0.591349
1.559744 0.600893
1.590028 0.618461
1.620312 0.647854
1.650597 0.687324
1.680881 0.732212
1.711165 0.787459
1.741450 0.850700
1.771734 0.915782
1.802019 0.983443
1.832303 1.043215
1.862587 1.102565
1.892872 1.149360
1.923156 1.195550
1.953440 1.228811
1.983725 1.254636
2.014009 1.272341
2.044293 1.274097
2.074578 1.261044
2.104862 1.236068
2.135146 1.197741
2.165431 1.154575
2.195715 1.105059
2.225999 1.055607
2.256284 1.007928
2.286568 0.965347
2.316852 0.926759
2.347137 0.894462
2.377421 0.870317
2.407705 0.851979
2.437990 0.841398
2.468274 0.838529
2.498558 0.841286
2.528843 0.850419
2.559127 0.865571
2.589411 0.883405
2.619696 0.906655
2.649980 0.931985
2.680265 0.960384
2.710549 0.986986
2.740833 1.012628
2.771118 1.036242
2.801402 1.057423
2.831686 1.073448
2.861971 1.084738
2.892255 1.092463
2.922539 1.096159
2.952824 1.094353
2.983108 1.089801
3.013392 1.082144
